,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"RCA_Corridor 10_1_352","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned","NonResidential",9.53,14.9922,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 11_1_381","New","RCA_Corridor 11 Space","Nonresidential","DirectlyConditioned","NonResidential",48.44,284.996,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 11_1_382","New","RCA_Corridor 11 Space","Nonresidential","DirectlyConditioned","NonResidential",6.84,14.9985,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 11_1_383","New","RCA_Corridor 11 Space","Nonresidential","DirectlyConditioned","NonResidential",46.36,15.0033,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,25.15
"RCA_Corridor 11_1_384","New","RCA_Corridor 11 Space","Nonresidential","DirectlyConditioned","NonResidential",87.91,14.9993,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,48.74
"RCA_Corridor 14_1_427","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned","NonResidential",150.46,14.9996,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 14_1_430","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned","NonResidential",719.46,105,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 14_1_431","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned","NonResidential",234.99,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,66.44
"RCA_Corridor 14_1_432","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned","NonResidential",50.26,284.997,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 14_1_433","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned","NonResidential",104.08,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,60.55
"RCA_Corridor 16_1_447","New","RCA_Corridor 16 Space","Nonresidential","DirectlyConditioned","NonResidential",57.35,14.9988,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,27.42
"RCA_Corridor 16_1_448","New","RCA_Corridor 16 Space","Nonresidential","DirectlyConditioned","NonResidential",53.19,15.0022,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,22.85
"RCA_Corridor 16_1_449","New","RCA_Corridor 16 Space","Nonresidential","DirectlyConditioned","NonResidential",139.69,14.9987,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 16_1_450","New","RCA_Corridor 16 Space","Nonresidential","DirectlyConditioned","NonResidential",231.42,105.003,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 16_1_453","New","RCA_Corridor 16 Space","Nonresidential","DirectlyConditioned","NonResidential",39.75,194.998,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
